Well_ID,Date,Temperature (°C),Soil Type,Rainfall (mm),Humidity (%),Evaporation Rate (mm/day),Water Table Depth (m),Land Use Type,Groundwater Extraction Rate (L/day),Area Name,Salinity (mg/L)
18341,2015-01-12,40.3,Sandy,67.1,95.2,7.52,16.63,Agriculture,19070.0,Srikakulam,1111.93
51097,2015-01-12,31.5,Sandy,119.3,94.3,6.23,8.65,Residential,36129.0,Kurnool,1423.03
77004,2015-01-12,30.8,Sandy,62.9,26.8,8.94,22.54,Residential,26879.0,Guntur,1385.28
87524,2015-01-12,30.8,Silty,187.8,57.9,5.48,25.98,Forest,12414.0,West Godavari,366.07
11139,2015-01-13,37.5,Loamy,86.5,84.0,12.31,11.61,Agriculture,4633.0,East Godavari,271.64
68278,2015-01-13,35.6,Sandy,235.1,41.3,12.74,2.27,Industrial,35060.0,Kurnool,1190.77
53788,2015-01-14,22.6,Peaty,24.4,80.7,3.86,26.78,Residential,24350.0,Anantapur,919.28
42650,2015-01-14,35.0,Peaty,144.5,64.4,12.79,9.02,Agriculture,36549.0,Krishna,1080.86
64940,2015-01-14,26.0,Peaty,215.0,62.0,11.0,23.88,Residential,12636.0,Kurnool,608.27
48933,2015-01-16,22.8,Clay,181.7,82.7,7.19,16.77,Forest,27125.0,East Godavari,1156.63
46991,2015-01-16,22.6,Sandy,285.3,26.0,3.57,12.67,Agriculture,25617.0,Guntur,1073.42
32197,2015-01-17,43.2,Sandy,254.0,70.5,2.94,3.33,Residential,14326.0,West Godavari,1086.11
25862,2015-01-17,28.0,Loamy,298.6,88.1,11.37,16.99,Residential,16382.0,Guntur,557.62
59141,2015-01-17,41.5,Loamy,93.2,33.2,11.27,29.48,Industrial,19680.0,Kurnool,1242.84
93409,2015-01-19,21.6,Silty,277.9,99.0,2.13,21.76,Forest,2362.0,West Godavari,1273.68
75645,2015-01-19,26.2,Clay,211.9,44.9,12.79,26.58,Industrial,20008.0,Chittoor,957.29
49924,2015-01-19,35.3,Loamy,95.5,65.5,8.93,13.02,Forest,35459.0,East Godavari,1340.01
20703,2015-01-19,26.6,Loamy,31.0,58.0,13.88,20.05,Industrial,14530.0,Krishna,726.11
19887,2015-01-19,24.3,Silty,230.6,82.8,3.4,23.13,Residential,43387.0,West Godavari,1187.9
83706,2015-01-19,26.5,Peaty,118.7,36.7,7.23,26.75,Industrial,16491.0,Krishna,702.29
82300,2015-01-19,35.0,Silty,202.7,53.7,8.14,11.9,Forest,17684.0,Srikakulam,1169.31
82488,2015-01-19,43.3,Loamy,183.0,54.3,14.19,21.85,Forest,12193.0,Nellore,490.76
67381,2015-01-19,43.7,Peaty,153.2,69.4,8.66,24.18,Industrial,23820.0,Visakhapatnam,981.97
27164,2015-01-19,36.5,Clay,215.3,70.8,4.44,13.21,Residential,40541.0,East Godavari,1100.41
20981,2015-01-19,41.4,Sandy,171.1,38.1,6.71,14.52,Industrial,42304.0,Kurnool,343.94
86890,2015-01-20,40.7,Loamy,33.1,68.5,13.16,25.38,Agriculture,35969.0,Srikakulam,144.35
61321,2015-01-21,29.8,Loamy,203.9,24.5,11.17,15.16,Forest,11528.0,Srikakulam,270.71
36436,2015-01-21,43.3,Silty,5.1,60.8,10.16,25.26,Industrial,27556.0,Chittoor,732.5
26446,2015-01-22,23.3,Sandy,203.8,95.5,11.6,7.45,Residential,39726.0,East Godavari,651.29
71774,2015-01-22,37.5,Clay,49.7,70.1,11.02,13.47,Agriculture,2500.0,Nellore,239.86
48581,2015-01-22,20.9,Loamy,209.3,37.1,3.99,15.66,Agriculture,28474.0,Anantapur,1136.03
11824,2015-01-22,29.6,Loamy,107.3,81.5,6.18,29.42,Agriculture,8562.0,Krishna,1359.99
12449,2015-01-22,32.5,Sandy,205.4,69.7,2.11,26.18,Forest,12095.0,Krishna,1246.52
49960,2015-01-22,39.4,Peaty,298.7,66.6,4.78,22.69,Forest,10419.0,Guntur,826.33
39382,2015-01-23,31.4,Silty,169.0,37.4,4.44,5.77,Agriculture,27981.0,Kurnool,1215.06
63328,2015-01-23,24.0,Clay,72.1,89.3,9.88,29.36,Residential,21213.0,East Godavari,1123.4
70657,2015-01-25,34.5,Sandy,132.1,35.6,5.75,6.58,Forest,38799.0,Srikakulam,908.33
74346,2015-01-25,29.2,Clay,45.8,80.7,12.0,15.92,Industrial,45013.0,Visakhapatnam,1442.23
39238,2015-01-25,44.7,Clay,180.4,49.0,9.98,16.69,Forest,4425.0,Anantapur,585.78
88234,2015-01-25,22.2,Peaty,78.4,89.8,13.99,14.15,Industrial,32980.0,Srikakulam,512.06
86722,2015-01-25,29.9,Clay,85.5,43.4,11.91,27.46,Forest,45883.0,Srikakulam,522.69
34375,2015-01-25,26.1,Silty,140.4,86.3,2.87,19.04,Forest,32428.0,Krishna,309.14
67827,2015-01-26,37.5,Peaty,18.0,24.3,14.44,20.24,Residential,29456.0,Visakhapatnam,218.3
67695,2015-01-26,20.9,Clay,3.7,27.0,13.41,20.31,Industrial,38212.0,East Godavari,121.55
57685,2015-01-27,40.5,Silty,192.8,81.7,6.91,7.99,Forest,5788.0,Anantapur,1048.03
97509,2015-01-28,31.7,Peaty,279.0,91.0,3.75,4.1,Industrial,28628.0,Guntur,969.26
12212,2015-01-28,26.3,Loamy,15.2,83.1,12.05,27.3,Forest,26898.0,East Godavari,1066.19
85487,2015-01-28,37.0,Sandy,77.1,96.6,6.48,23.77,Forest,27401.0,West Godavari,850.15
42249,2015-01-29,43.3,Silty,261.3,36.1,2.15,11.15,Agriculture,6538.0,West Godavari,158.56
14287,2015-01-29,21.3,Sandy,164.3,34.1,10.62,20.01,Forest,1284.0,Srikakulam,1108.03
42446,2015-01-29,25.8,Loamy,194.3,56.4,6.88,23.05,Forest,19117.0,East Godavari,124.2
17756,2015-01-29,28.6,Silty,272.6,93.1,13.12,4.54,Residential,13640.0,West Godavari,1147.7
80041,2015-01-29,23.4,Sandy,162.5,37.7,9.18,9.25,Industrial,11285.0,Chittoor,1393.38
18546,2015-01-30,24.0,Peaty,195.9,85.9,12.16,4.29,Industrial,22479.0,East Godavari,728.26
17116,2015-01-31,29.5,Sandy,88.3,45.9,5.62,8.12,Residential,17809.0,Krishna,1133.59
88269,2015-02-02,41.6,Clay,266.8,67.9,9.27,25.14,Residential,2040.0,Srikakulam,314.76
18880,2015-02-04,29.9,Silty,35.4,67.4,7.32,16.76,Agriculture,2929.0,Krishna,799.91
39939,2015-02-04,25.5,Clay,35.4,66.4,10.9,18.45,Industrial,3376.0,Nellore,1383.68
24552,2015-02-04,30.6,Peaty,175.9,45.8,2.06,5.18,Forest,45462.0,Srikakulam,225.88
60240,2015-02-04,37.4,Clay,33.9,46.2,12.48,2.49,Forest,17856.0,Guntur,1293.63
12805,2015-02-05,21.4,Clay,266.1,85.7,7.92,18.3,Agriculture,5753.0,Guntur,215.84
45420,2015-02-05,37.2,Sandy,264.9,30.3,6.27,14.52,Agriculture,29799.0,Visakhapatnam,1257.51
81454,2015-02-05,34.5,Loamy,34.6,82.3,8.58,5.56,Industrial,19018.0,West Godavari,1487.22
18822,2015-02-05,33.8,Clay,63.1,49.0,5.5,21.7,Forest,5389.0,Chittoor,142.1
52432,2015-02-05,41.8,Silty,199.6,99.4,10.28,19.37,Industrial,13384.0,Nellore,1228.87
63525,2015-02-06,42.3,Loamy,269.1,80.3,7.55,25.1,Forest,4669.0,Visakhapatnam,1478.08
29108,2015-02-06,22.2,Sandy,26.4,51.4,6.12,14.93,Agriculture,10863.0,Visakhapatnam,969.41
42989,2015-02-07,39.8,Peaty,63.4,68.0,10.15,5.3,Residential,34944.0,Anantapur,913.93
93345,2015-02-08,27.9,Clay,187.6,45.5,12.91,3.68,Agriculture,32721.0,Srikakulam,1286.47
20290,2015-02-08,44.4,Peaty,181.3,89.7,2.34,11.61,Forest,23107.0,Krishna,926.77
20361,2015-02-08,42.6,Clay,294.0,55.8,8.08,29.75,Forest,35665.0,Guntur,1020.2
84851,2015-02-08,36.9,Sandy,124.6,42.5,10.61,13.81,Agriculture,47250.0,Krishna,1410.1
92993,2015-02-08,33.8,Silty,17.2,79.1,8.63,18.6,Residential,11191.0,Guntur,746.01
26638,2015-02-09,31.8,Sandy,65.3,87.9,8.61,15.13,Industrial,24265.0,West Godavari,939.24
66566,2015-02-09,24.3,Peaty,298.2,75.7,6.7,8.77,Industrial,36596.0,West Godavari,967.95
66134,2015-02-09,28.7,Silty,200.4,84.4,8.99,12.79,Residential,41715.0,Kurnool,1126.03
90018,2015-02-09,32.1,Loamy,122.5,72.0,5.91,12.0,Industrial,29667.0,Kurnool,642.52
55254,2015-02-09,42.6,Sandy,38.4,84.0,7.76,17.62,Agriculture,40107.0,Krishna,244.51
57273,2015-02-10,25.2,Peaty,114.6,48.7,2.05,29.28,Residential,10001.0,Srikakulam,259.21
60011,2015-02-10,43.8,Peaty,148.1,64.7,7.69,24.28,Residential,20875.0,Kadapa,652.24
60819,2015-02-10,20.7,Peaty,240.8,61.1,7.12,18.64,Agriculture,14901.0,Chittoor,1013.36
89743,2015-02-10,43.7,Silty,202.4,56.1,2.22,11.08,Forest,12375.0,Krishna,997.49
79371,2015-02-10,44.5,Sandy,191.1,95.9,6.78,22.89,Forest,2290.0,East Godavari,182.93
87098,2015-02-11,22.6,Loamy,283.1,23.5,5.84,4.58,Industrial,48965.0,Krishna,1330.55
88191,2015-02-11,20.9,Loamy,289.3,20.3,8.39,28.59,Residential,20526.0,Krishna,1479.77
82192,2015-02-12,39.7,Clay,22.9,64.4,10.61,10.33,Industrial,40871.0,Anantapur,451.12
46099,2015-02-12,31.9,Clay,189.5,69.9,7.06,21.54,Forest,22084.0,Kadapa,1282.42
49622,2015-02-12,37.5,Clay,225.3,22.7,5.85,9.66,Forest,48940.0,Krishna,916.15
14900,2015-02-12,39.8,Peaty,135.1,37.5,3.47,9.77,Agriculture,19794.0,Kadapa,1184.97
46913,2015-02-12,41.4,Loamy,204.8,88.3,2.49,8.69,Forest,15007.0,Kurnool,1126.03
96836,2015-02-12,20.2,Loamy,267.1,54.3,4.05,29.86,Residential,35646.0,Srikakulam,890.82
19783,2015-02-13,37.0,Loamy,119.8,55.0,13.62,25.12,Agriculture,45645.0,Nellore,1359.24
22136,2015-02-14,34.3,Silty,93.6,53.1,5.21,13.75,Industrial,16423.0,West Godavari,677.57
93969,2015-02-14,44.1,Sandy,124.8,53.3,12.42,15.61,Agriculture,12398.0,Chittoor,600.21
48137,2015-02-14,39.5,Peaty,128.5,94.7,3.47,25.93,Agriculture,2750.0,Visakhapatnam,192.96
11515,2015-02-14,21.5,Silty,229.3,40.2,8.46,20.31,Agriculture,46100.0,Guntur,945.12
86786,2015-02-15,39.4,Silty,269.5,40.1,9.09,22.53,Industrial,11112.0,Visakhapatnam,212.14
50220,2015-02-16,44.3,Peaty,63.3,79.5,2.68,13.28,Agriculture,12996.0,West Godavari,167.36
73319,2015-02-16,42.0,Sandy,175.8,52.2,6.87,10.21,Industrial,21142.0,Krishna,549.21
33507,2015-02-17,35.7,Silty,69.0,40.7,6.89,28.01,Residential,42766.0,East Godavari,1002.0
17255,2015-02-17,30.6,Sandy,12.5,34.6,9.09,14.18,Agriculture,4104.0,Srikakulam,804.29
20106,2015-02-18,37.5,Peaty,87.9,82.1,4.45,28.16,Agriculture,21233.0,Guntur,979.1
52275,2015-02-18,42.5,Clay,88.9,36.9,4.15,9.12,Agriculture,47047.0,Srikakulam,326.57
90782,2015-02-18,28.8,Silty,11.4,71.9,8.13,2.84,Residential,39298.0,Guntur,824.91
87839,2015-02-18,35.8,Clay,118.6,40.8,6.04,14.61,Residential,12500.0,Visakhapatnam,655.18
54629,2015-02-19,44.5,Clay,258.9,95.4,9.76,16.64,Industrial,40108.0,East Godavari,1145.51
76858,2015-02-19,38.8,Clay,141.8,71.0,14.88,20.93,Industrial,18218.0,Srikakulam,1199.23
83301,2015-02-19,37.6,Loamy,71.3,64.1,10.1,27.4,Agriculture,2537.0,Chittoor,1440.03
52149,2015-02-20,28.8,Loamy,85.2,95.7,10.54,19.66,Agriculture,23229.0,Chittoor,561.44
27891,2015-02-20,41.4,Loamy,236.7,56.5,3.21,6.03,Industrial,7939.0,Visakhapatnam,1464.02
93325,2015-02-20,39.7,Loamy,166.6,25.4,5.63,2.29,Forest,33691.0,Anantapur,155.6
21895,2015-02-20,22.9,Silty,2.0,89.2,9.09,14.5,Forest,2843.0,Kurnool,274.36
74679,2015-02-21,38.1,Peaty,121.3,56.7,9.9,22.4,Forest,45483.0,East Godavari,193.46
23768,2015-02-22,36.6,Clay,265.0,40.5,8.2,26.98,Residential,21899.0,Krishna,437.78
89202,2015-02-22,33.3,Loamy,125.9,60.8,2.47,21.97,Forest,41977.0,Nellore,114.64
89806,2015-02-23,34.7,Silty,141.0,55.8,3.73,12.85,Residential,29191.0,East Godavari,1488.18
88807,2015-02-23,30.0,Clay,6.1,84.8,13.55,2.17,Residential,17738.0,Guntur,581.76
70150,2015-02-24,33.0,Clay,185.1,43.0,14.52,20.02,Industrial,14596.0,East Godavari,1088.15
27992,2015-02-24,33.0,Sandy,60.1,68.8,3.5,27.61,Agriculture,5197.0,Guntur,1201.79
57749,2015-02-24,41.4,Sandy,232.1,43.3,11.53,28.49,Residential,22641.0,West Godavari,772.73
50921,2015-02-24,43.0,Sandy,42.1,55.3,6.3,23.74,Industrial,5862.0,West Godavari,762.83
85239,2015-02-25,42.6,Sandy,22.9,22.7,2.13,17.51,Forest,15993.0,Nellore,299.53
17215,2015-02-25,33.0,Sandy,227.3,98.2,6.35,18.35,Agriculture,21077.0,East Godavari,222.65
75154,2015-02-26,35.8,Clay,41.2,71.5,9.22,17.91,Forest,48071.0,Kurnool,1040.29
34092,2015-02-26,32.1,Peaty,219.1,90.7,2.66,6.6,Agriculture,15340.0,Kadapa,915.96
48351,2015-02-27,39.0,Loamy,30.7,21.8,13.57,27.14,Residential,15095.0,Anantapur,834.39
89228,2015-02-27,27.9,Clay,109.8,86.7,13.58,26.45,Forest,39269.0,Visakhapatnam,547.74
56227,2015-02-28,23.0,Peaty,142.0,98.2,9.25,18.65,Forest,23880.0,Krishna,433.25
33817,2015-03-01,22.3,Peaty,265.7,92.1,8.74,29.94,Agriculture,23162.0,Srikakulam,163.58
91672,2015-03-01,30.0,Clay,240.8,80.4,14.48,22.73,Industrial,31831.0,Srikakulam,1144.57
92365,2015-03-02,20.1,Silty,245.4,74.2,7.4,4.49,Forest,41933.0,East Godavari,647.44
90326,2015-03-02,26.5,Silty,169.3,53.0,5.1,12.19,Industrial,35374.0,Anantapur,413.18
56460,2015-03-02,37.5,Clay,276.7,82.3,11.32,10.77,Forest,10349.0,Kurnool,493.56
46093,2015-03-02,41.0,Loamy,192.6,99.7,3.1,16.48,Residential,48980.0,West Godavari,427.49
95555,2015-03-02,34.3,Loamy,9.7,95.9,2.53,7.25,Residential,49561.0,Kurnool,888.59
31609,2015-03-03,38.1,Silty,58.5,40.4,14.32,20.96,Residential,31181.0,Guntur,1230.99
40768,2015-03-04,35.7,Peaty,213.0,48.9,11.9,5.28,Residential,23083.0,West Godavari,307.04
49176,2015-03-04,33.5,Peaty,186.8,79.7,5.14,27.85,Forest,2967.0,Nellore,613.81
29548,2015-03-04,29.9,Silty,79.2,39.5,7.18,28.32,Agriculture,22153.0,Anantapur,1123.67
73502,2015-03-05,33.4,Sandy,166.0,95.6,14.47,14.92,Forest,23637.0,Kadapa,410.34
94073,2015-03-05,43.5,Peaty,153.7,52.4,9.81,24.3,Residential,34142.0,Krishna,1406.82
24438,2015-03-06,38.4,Loamy,23.7,98.7,8.87,11.63,Industrial,40111.0,Guntur,319.84
28439,2015-03-06,35.8,Loamy,107.2,37.6,11.11,11.13,Industrial,6527.0,West Godavari,1330.33
96220,2015-03-06,44.7,Loamy,180.0,89.8,11.22,7.47,Industrial,37901.0,Krishna,194.38
86016,2015-03-07,40.8,Loamy,85.2,80.8,6.69,4.69,Industrial,11047.0,East Godavari,650.13
68419,2015-03-07,25.8,Loamy,45.0,24.8,5.78,23.57,Residential,30019.0,Guntur,828.44
48307,2015-03-08,34.6,Sandy,251.7,87.7,13.38,9.98,Residential,19214.0,West Godavari,447.69
83591,2015-03-08,22.5,Peaty,56.0,49.2,6.21,26.26,Industrial,26159.0,Krishna,1102.2
17718,2015-03-08,28.7,Peaty,237.7,96.8,11.18,7.11,Residential,7553.0,West Godavari,1363.67
70317,2015-03-09,23.6,Peaty,219.7,76.2,11.62,5.79,Forest,45880.0,Visakhapatnam,506.33
41470,2015-03-09,37.5,Peaty,28.5,72.1,5.97,9.53,Agriculture,12292.0,Anantapur,155.96
98173,2015-03-09,28.4,Clay,41.0,34.0,6.98,22.92,Residential,47873.0,Guntur,1347.91
74034,2015-03-09,23.9,Silty,2.4,45.2,9.71,7.46,Industrial,44654.0,West Godavari,556.45
84827,2015-03-09,27.3,Peaty,281.5,58.7,11.36,16.92,Forest,21875.0,Krishna,816.54
28994,2015-03-09,32.2,Silty,211.9,71.5,14.62,26.34,Agriculture,35462.0,East Godavari,1031.05
17777,2015-03-10,30.9,Peaty,26.3,37.2,13.85,15.68,Residential,21934.0,Anantapur,851.72
76096,2015-03-10,40.0,Peaty,114.5,90.4,2.36,6.94,Residential,28846.0,East Godavari,692.94
17730,2015-03-10,42.2,Sandy,177.3,46.2,14.55,13.03,Residential,47760.0,Guntur,553.97
57414,2015-03-10,23.2,Silty,178.6,97.6,3.23,3.02,Residential,11896.0,West Godavari,1473.04
76434,2015-03-11,30.9,Sandy,203.4,40.2,9.04,14.26,Residential,15063.0,Guntur,466.2
83354,2015-03-12,29.8,Clay,101.4,74.5,12.54,11.42,Agriculture,25171.0,Guntur,1017.59
21941,2015-03-12,30.0,Clay,77.2,63.2,11.79,11.34,Agriculture,6713.0,West Godavari,1053.72
87027,2015-03-13,34.5,Peaty,262.0,78.4,9.79,17.65,Industrial,23108.0,Anantapur,422.06
13797,2015-03-13,42.9,Clay,295.4,82.6,7.31,23.99,Forest,25023.0,Kurnool,1242.6
59660,2015-03-13,21.8,Peaty,271.0,48.4,14.77,28.66,Residential,9308.0,Visakhapatnam,902.4
52031,2015-03-13,41.9,Loamy,137.2,77.3,9.25,21.05,Agriculture,22943.0,Visakhapatnam,1498.43
20696,2015-03-14,42.4,Loamy,80.9,67.8,5.72,16.56,Industrial,14611.0,Anantapur,1293.06
21321,2015-03-14,30.6,Peaty,9.7,94.2,8.05,12.27,Residential,45281.0,Guntur,650.99
21256,2015-03-14,33.3,Silty,296.5,33.2,9.2,21.19,Forest,33989.0,Kadapa,1352.92
18542,2015-03-14,37.5,Loamy,236.3,50.9,3.7,19.85,Industrial,34262.0,Srikakulam,224.18
27911,2015-03-14,41.3,Loamy,216.8,66.9,13.29,17.89,Residential,38767.0,Visakhapatnam,848.97
28619,2015-03-15,23.3,Clay,234.8,71.4,6.3,7.81,Agriculture,11125.0,Anantapur,193.74
34762,2015-03-16,28.9,Loamy,162.5,58.8,9.63,17.17,Agriculture,25749.0,Chittoor,1281.7
73586,2015-03-16,37.0,Silty,210.4,23.3,4.96,24.06,Industrial,11288.0,East Godavari,1440.68
74145,2015-03-16,32.9,Sandy,123.9,48.4,12.55,8.88,Residential,35354.0,Krishna,1047.55
85339,2015-03-17,42.4,Sandy,35.6,31.8,2.67,6.2,Industrial,13771.0,East Godavari,611.31
73041,2015-03-17,27.6,Silty,113.7,54.0,2.43,19.79,Forest,27793.0,Krishna,536.7
46314,2015-03-17,21.4,Sandy,130.3,33.7,6.04,8.29,Industrial,23382.0,Chittoor,319.8
24025,2015-03-18,34.1,Loamy,293.1,57.8,9.08,17.78,Forest,49850.0,Chittoor,412.4
34926,2015-03-18,27.9,Sandy,215.6,95.4,4.34,8.56,Residential,16045.0,Visakhapatnam,120.2
87019,2015-03-19,34.5,Silty,142.2,55.8,13.66,21.24,Forest,30263.0,East Godavari,369.69
87368,2015-03-19,25.6,Clay,165.8,86.6,7.56,28.29,Industrial,11219.0,Krishna,965.19
52100,2015-03-19,32.5,Sandy,37.1,79.1,9.12,8.03,Agriculture,25524.0,Krishna,178.08
47665,2015-03-20,37.9,Clay,79.4,90.3,10.43,13.47,Agriculture,31226.0,Guntur,457.23
15998,2015-03-20,27.0,Peaty,106.5,61.8,13.23,4.09,Residential,21157.0,Chittoor,1253.56
68665,2015-03-21,20.4,Loamy,75.3,60.1,6.77,13.51,Industrial,4476.0,West Godavari,105.56
26264,2015-03-21,29.2,Silty,63.9,50.3,2.21,3.79,Forest,4497.0,Chittoor,1356.48
38891,2015-03-23,23.6,Silty,273.0,80.0,8.99,29.46,Residential,3866.0,West Godavari,1476.45
47724,2015-03-23,31.7,Peaty,226.9,75.4,5.05,26.02,Forest,1173.0,Guntur,754.72
63599,2015-03-23,24.7,Sandy,219.0,25.6,10.13,3.49,Industrial,39159.0,Krishna,1380.1
18849,2015-03-23,37.7,Sandy,250.4,82.6,9.68,14.65,Industrial,45399.0,Krishna,338.78
89567,2015-03-24,23.4,Sandy,62.9,73.9,6.87,13.8,Forest,6503.0,East Godavari,202.86
40097,2015-03-24,24.8,Clay,136.3,29.0,2.64,10.93,Agriculture,35811.0,Guntur,993.44
57489,2015-03-24,38.0,Clay,223.5,29.5,6.31,12.4,Agriculture,13119.0,Guntur,768.06
55432,2015-03-24,39.5,Silty,14.2,74.6,11.78,13.62,Agriculture,34630.0,Kadapa,1409.94
97853,2015-03-24,34.9,Peaty,221.2,89.3,5.88,28.94,Agriculture,4784.0,Kurnool,1065.47
99128,2015-03-25,30.7,Loamy,37.1,67.4,4.95,6.95,Forest,15474.0,Visakhapatnam,940.78
23208,2015-03-25,38.5,Sandy,4.2,31.9,3.62,19.1,Forest,38126.0,Krishna,928.28
72568,2015-03-26,24.5,Clay,17.2,71.2,10.42,22.75,Agriculture,18831.0,Nellore,326.33
21820,2015-03-26,34.8,Sandy,94.7,73.9,7.87,6.43,Forest,37603.0,East Godavari,279.05
29926,2015-03-26,40.2,Sandy,139.8,30.1,12.71,13.25,Industrial,17921.0,Srikakulam,110.39
53617,2015-03-27,25.3,Sandy,159.1,46.4,10.3,26.62,Forest,48198.0,Chittoor,330.74
58309,2015-03-27,37.6,Loamy,105.7,96.9,4.97,20.95,Agriculture,11714.0,Anantapur,589.29
85414,2015-03-27,44.2,Sandy,242.1,24.4,10.44,15.13,Agriculture,30390.0,Krishna,1244.61
67037,2015-03-28,28.7,Peaty,99.1,93.6,5.77,22.32,Agriculture,4691.0,Guntur,361.22
73526,2015-03-28,32.4,Silty,117.0,26.2,5.92,6.11,Forest,49822.0,Nellore,1120.73
75830,2015-03-28,44.0,Sandy,271.4,65.7,4.56,25.71,Forest,25751.0,Visakhapatnam,767.16
63633,2015-03-28,36.6,Peaty,208.2,94.0,5.3,27.73,Agriculture,22055.0,Srikakulam,634.23
91224,2015-03-29,21.2,Peaty,239.8,91.4,8.56,10.03,Residential,40199.0,Anantapur,940.76
95971,2015-03-29,22.3,Silty,187.5,98.7,8.44,2.35,Industrial,36438.0,Guntur,1169.05
29479,2015-03-31,41.6,Peaty,44.4,76.6,10.87,4.26,Forest,30979.0,East Godavari,1137.23
98079,2015-03-31,43.9,Peaty,243.4,53.6,13.77,11.4,Industrial,10997.0,Visakhapatnam,378.32
66706,2015-03-31,42.1,Loamy,61.8,71.9,12.43,16.98,Industrial,35179.0,Kurnool,1453.23
23132,2015-03-31,44.1,Silty,127.0,91.0,3.33,25.57,Agriculture,4239.0,Nellore,146.87
34735,2015-03-31,35.4,Clay,112.3,73.4,12.03,25.72,Agriculture,5748.0,Kadapa,1189.46
75582,2015-03-31,25.8,Peaty,35.3,84.0,14.22,17.81,Industrial,37550.0,Anantapur,1272.8
40144,2015-04-01,27.4,Loamy,109.0,26.0,5.05,28.88,Industrial,22012.0,Visakhapatnam,698.69
32285,2015-04-01,25.1,Silty,170.1,65.0,6.6,11.44,Industrial,13714.0,Kadapa,1248.7
91605,2015-04-02,26.6,Sandy,46.3,36.0,8.75,18.98,Industrial,18596.0,Kurnool,199.85
31567,2015-04-02,39.7,Clay,77.3,55.4,14.95,23.77,Forest,24858.0,Chittoor,1286.5
32023,2015-04-02,27.7,Peaty,37.6,61.6,9.4,11.8,Industrial,37989.0,East Godavari,791.27
63133,2015-04-03,36.3,Clay,78.8,89.5,3.35,2.8,Industrial,45501.0,Visakhapatnam,692.14
87350,2015-04-03,40.4,Loamy,71.3,26.8,2.18,5.32,Industrial,6809.0,Krishna,650.63
47766,2015-04-03,29.4,Sandy,55.8,64.9,4.05,13.4,Residential,43106.0,Anantapur,1216.15
50625,2015-04-05,42.8,Sandy,96.1,31.6,7.57,29.36,Industrial,1296.0,East Godavari,1252.81
